project_id,const_id,project_name,Status,District_Name,start_date,end_date,project_duration(Month),customer_poc
1,1,The Cross Island Line,A,Judea and Samaria District,15/11/2020,24/02/2024,39,Liora Cohen
2,1,The North-South Commuter Railway,A,The Northern District,25/02/2021,16/11/2023,32,Shira Cohen-David
3,1,The Western Sydney Airport,P,The Haifa District,01/10/2020,09/01/2021,3,Avigail Sasson
4,2,The New Safe Confinement,P,The Haifa District,06/11/2020,16/01/2022,14,Yotam Levi
5,2,The Hinkley Point C nuclear power plant,P,Jerusalem District,21/02/2021,18/04/2023,25,Matan Klein
6,2,The Istanbul Airport,P,The Haifa District,01/11/2020,02/03/2022,16,Yotam Levi
7,3,The Grand Paris Express,A,Jerusalem District,12/11/2020,08/09/2024,45,Matan Klein
8,3,The Chennai Metro Rail,P,The Central District,31/08/2020,29/04/2023,31,Adi Carmi
9,3,The Bosphorus Tunnel,A,The Haifa District,18/01/2021,18/02/2024,37,Yotam Levi
10,4,The Mumbai Coastal Road,A,South District,25/08/2020,07/02/2024,41,Yair Dahan
11,4,The Amur Gas Processing Plant,P,The Northern District,25/08/2020,22/07/2022,22,Shira Cohen-David
12,4,The Changi Airport Terminal 5,P,The Central District,08/11/2020,19/04/2023,29,Eran Ben-Shabat
13,5,The Istanbul Canal,P,The Haifa District,06/02/2021,02/11/2022,20,Yotam Levi
14,5,The Delhi-Mumbai Industrial Corridor,P,Tel-Aviv District,04/08/2020,01/04/2022,19,Baruch Azulay
15,5,The Thames Tideway Tunnel,A,Jerusalem District,28/09/2020,16/12/2025,62,Matan Klein
16,6,The Doha Metro,P,The Central District,19/07/2020,13/02/2022,18,Eran Ben-Shabat
17,6,The Central Expressway,P,The Haifa District,03/02/2021,05/09/2022,19,Yotam Levi
18,6,The West Coast Expressway,A,The Haifa District,14/02/2021,11/08/2025,53,Avigail Sasson
19,7,The Rail Baltica,P,The Central District,13/01/2021,15/09/2022,20,Eran Ben-Shabat
20,7,The Abraj Kudai hotel,P,Jerusalem District,19/12/2020,18/10/2021,9,Matan Klein
21,7,The Gotthard Base Tunnel,A,The Haifa District,13/08/2020,26/06/2025,58,Avigail Sasson
22,8,The Sagrada Familia,P,The Northern District,16/07/2020,28/11/2022,28,Shira Cohen-David
23,8,The SkyTrain,P,Jerusalem District,02/01/2021,07/12/2022,23,Matan Klein
24,8,The City Rail Link,A,Jerusalem District,22/08/2020,09/07/2024,46,Matan Klein
25,9,The New York City Subway,A,The Central District,18/09/2020,25/01/2025,52,Adi Carmi
26,9,The Jubilee Line Extension,A,South District,01/03/2021,20/08/2023,29,Yair Dahan
27,9,The Terrafugia flying car,P,Jerusalem District,20/12/2020,12/12/2024,47,Matan Klein
28,10,The Sydney Harbour Tunnel,A,The Haifa District,07/12/2020,22/07/2023,31,Yotam Levi
29,10,The Cross-Harbour Tunnel,P,The Haifa District,14/10/2020,28/03/2023,29,Avigail Sasson
30,10,The Second Bosphorus Bridge,P,The Northern District,06/08/2020,23/03/2024,43,Shira Cohen-David
31,5,The Trans-Alaska Pipeline System,A,Judea and Samaria District,17/01/2020,08/07/2023,41,Liora Cohen
32,5,The Big Dig,P,Judea and Samaria District,08/05/2022,01/10/2022,4,Liora Cohen
33,4,The Golden Quadrilateral,A,The Northern District,17/12/2022,25/02/2024,14,Shira Cohen-David
34,8,The H-3 Highway,P,The Central District,02/04/2021,21/10/2021,6,Eran Ben-Shabat
35,5,The Beijing-Hong Kong-Macau Expressway,P,Jerusalem District,13/12/2021,26/06/2022,6,Matan Klein
36,7,The Hong Kong-Zhuhai-Macau Bridge,P,Tel-Aviv District,09/01/2021,20/04/2022,15,Ronit Levy-Rubin
37,5,The Pacific Highway Upgrade,A,The Central District,14/10/2021,11/11/2023,24,Adi Carmi
38,6,The 407 ETR Toll Road,A,Jerusalem District,03/08/2020,08/08/2024,48,Matan Klein
39,5,The Akashi Kaiky? Bridge,P,The Northern District,30/08/2020,13/03/2021,6,Shira Cohen-David
40,10,The Istanbul Strait Road Tunnel,P,The Haifa District,28/04/2021,04/08/2022,15,Yotam Levi
41,3,The Mumbai-Pune Expressway,P,Judea and Samaria District,30/11/2021,03/12/2022,12,Liora Cohen
42,8,The Alaskan Way Viaduct Replacement Tunnel,P,Judea and Samaria District,15/02/2020,03/04/2021,13,Liora Cohen
43,4,The Lusail Expressway,A,Jerusalem District,28/05/2020,16/04/2024,46,Matan Klein
44,9,The North Luzon Expressway,A,Tel-Aviv District,09/06/2021,16/07/2023,25,Baruch Azulay
45,2,The Sheikh Jaber Al-Ahmad Al-Sabah Causeway,A,The Central District,12/10/2022,21/05/2024,19,Adi Carmi
46,7,The WestConnex Motorway,A,Judea and Samaria District,15/05/2022,08/01/2024,19,Liora Cohen
47,3,The West Kowloon Corridor,A,Judea and Samaria District,05/03/2021,21/01/2025,46,Liora Cohen
48,8,The New International Airport of Mexico City,P,The Haifa District,24/10/2020,09/02/2023,27,Avigail Sasson
49,8,The Follo Line Railway,A,The Central District,09/04/2022,24/12/2023,20,Adi Carmi
50,3,The Intercounty Connector,A,Jerusalem District,03/11/2022,15/05/2024,18,Matan Klein
51,8,The Chennai Outer Ring Road,P,The Central District,20/01/2021,19/05/2023,27,Adi Carmi
52,4,The Eastern Peripheral Expressway,P,Judea and Samaria District,19/03/2022,22/09/2022,6,Liora Cohen
53,9,The North-South Corridor,P,Judea and Samaria District,18/04/2021,28/05/2022,13,Liora Cohen
54,1,The Coastal Pacific Highway,P,The Central District,28/05/2020,28/11/2022,30,Eran Ben-Shabat
55,8,The Dhaka Elevated Expressway,P,South District,04/08/2020,01/02/2021,5,Yair Dahan
56,1,The Suez Canal Expansion,A,The Central District,15/06/2022,03/04/2025,33,Eran Ben-Shabat
57,6,The Tianjin-Qinhuangdao High-Speed Railway,P,South District,26/04/2020,14/05/2023,36,Yair Dahan
58,9,The Xinjiang-Tibet Highway,A,The Northern District,04/10/2020,14/12/2024,50,Shira Cohen-David
59,2,The Great Ocean Road Upgrade,A,Jerusalem District,11/07/2021,04/06/2024,34,Matan Klein
60,3,The Zárate-Brazo Largo Bridge.,P,South District,21/03/2021,01/02/2022,10,Yair Dahan
